Customer_ID,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Tenure_Months,Products_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Available_Credit,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Stay_Probability,NB_Churn_Probability
768805383,Existing Customer,45.0,M,3,High School,Married,$60K - $80K,Blue,39.0,5,1.0,3.0,12691.0,777,11914.0,1.201,1144.0,42,1.172,0.061,9.3448e-05,0.99991
818770008,Existing Customer,49.0,F,5,Graduate,Single,Less Than $40K,Blue,44.0,6,1.0,2.0,8256.0,864,7392.0,1.201,1291.0,33,1.172,0.105,5.6861e-05,0.99994
713982108,Existing Customer,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36.0,4,1.0,0.5,3418.0,0,3418.0,1.201,1887.0,20,1.172,0.0,2.1081e-05,0.99998
709106358,Existing Customer,40.0,M,3,Uneducated,Married,$60K - $80K,Blue,21.0,5,1.0,0.5,4716.0,0,4716.0,1.201,816.0,28,1.172,0.0,2.1676e-05,0.99998
713061558,Existing Customer,44.0,M,2,Graduate,Married,$40K - $60K,Blue,36.0,3,1.0,2.0,4010.0,1247,2763.0,1.201,1088.0,24,0.846,0.311,5.5077e-05,0.99994
710930508,Existing Customer,37.0,M,3,Uneducated,Single,$60K - $80K,Blue,36.0,5,2.0,0.5,22352.0,2517,19835.0,1.201,1350.0,24,1.172,0.113,4.4796e-05,0.99996
719661558,Existing Customer,48.0,M,2,Graduate,Single,$80K - $120K,Blue,36.0,6,3.0,3.0,11656.0,1677,9979.0,1.201,1441.0,32,0.882,0.144,0.00030251,0.9997
710599683,Existing Customer,56.0,M,1,College,Single,$80K - $120K,Blue,36.0,3,4.5,0.5,11751.0,0,11751.0,1.201,1539.0,17,1.172,0.0,4.7799e-05,0.99995
712396908,Existing Customer,57.0,F,2,Graduate,Married,Less Than $40K,Blue,48.0,5,2.0,2.0,2436.0,680,1756.0,1.19,1570.0,29,0.611,0.279,0.00011382,0.99989
709967358,Existing Customer,48.0,M,4,Post-Graduate,Single,$80K - $120K,Blue,36.0,6,2.0,3.0,23836.25,2362,22660.75,1.201,1671.0,27,0.929,0.078,0.00023623,0.99976
806160108,Existing Customer,61.0,M,1,High School,Married,$40K - $60K,Blue,53.5,2,2.0,3.0,3193.0,2517,676.0,1.201,1336.0,30,1.143,0.788,0.00017468,0.99983
806165208,Existing Customer,47.0,M,1,Doctorate,Divorced,$60K - $80K,Blue,42.0,5,2.0,0.5,20979.0,1800,19179.0,0.906,1178.0,27,0.929,0.086,5.703e-05,0.99994
708508758,Attrited Customer,62.0,F,0,Graduate,Married,Less Than $40K,Blue,49.0,2,3.0,3.0,1438.3,0,1438.3,1.047,692.0,16,0.6,0.0,0.0006947755000000001,0.9993
784725333,Existing Customer,41.0,M,3,High School,Married,$40K - $60K,Blue,33.0,4,2.0,1.0,4470.0,680,3790.0,1.201,931.0,18,1.172,0.152,6.9242e-05,0.99993
771071958,Existing Customer,41.0,F,3,Graduate,Single,Less Than $40K,Blue,28.0,6,1.0,2.0,7768.0,1669,6099.0,0.797,1051.0,22,0.833,0.215,5.7151e-05,0.99994
806624208,Existing Customer,47.0,M,4,High School,Married,$40K - $60K,Blue,42.0,6,0.5,0.5,4785.0,1362,3423.0,0.739,1045.0,38,0.9,0.285,7.6642e-06,0.99999
712991808,Existing Customer,53.0,M,2,Uneducated,Married,$60K - $80K,Blue,48.0,2,4.5,1.0,2451.0,1690,761.0,1.201,1596.0,26,1.172,0.69,0.00012458,0.99988
709029408,Existing Customer,41.0,M,4,Graduate,Married,$60K - $80K,Blue,36.0,4,1.0,2.0,8923.0,2517,6406.0,1.201,1589.0,24,1.172,0.282,5.7762e-05,0.99994
788658483,Existing Customer,53.0,F,2,College,Married,Less Than $40K,Blue,38.0,5,2.0,3.0,2650.0,1490,1160.0,1.201,1411.0,28,1.0,0.562,0.00018612,0.99981
787937058,Existing Customer,58.0,M,0,Graduate,Married,$80K - $120K,Blue,49.0,6,2.0,2.0,12555.0,1696,10859.0,0.519,1291.0,24,0.714,0.135,9.7673e-05,0.9999
715318008,Existing Customer,55.0,F,1,College,Single,Less Than $40K,Blue,36.0,4,2.0,1.0,3520.0,1914,1606.0,0.51,1407.0,43,0.483,0.544,6.2639e-05,0.99994
713962233,Existing Customer,55.0,F,3,Graduate,Married,Less Than $40K,Blue,36.0,6,2.0,3.0,3035.0,2298,737.0,1.201,1877.0,37,1.172,0.757,0.00019864,0.9998
785432733,Existing Customer,42.0,F,4,High School,Married,Less Than $40K,Gold,36.0,2,3.0,3.0,15433.0,0,15433.0,0.865,966.0,22,1.172,0.0,0.00035532,0.99964
827111283,Existing Customer,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41.0,2,2.0,2.0,23836.25,578,22660.75,1.042,1109.0,28,0.474,0.018,0.00011811,0.99988
773146383,Existing Customer,50.0,F,1,College,Single,$40K - $60K,Silver,43.0,3,2.0,3.0,17304.0,2517,14787.0,1.201,1756.0,33,1.172,0.145,0.00015785,0.99984
778493808,Existing Customer,49.0,M,3,High School,Married,$60K - $80K,Blue,37.0,5,2.0,1.0,3906.0,0,3906.0,1.201,1756.0,32,1.0,0.0,6.9242e-05,0.99993
712661433,Existing Customer,49.0,M,4,Uneducated,Single,$80K - $120K,Blue,30.0,3,2.0,3.0,23836.25,0,22660.75,1.201,1444.0,28,1.172,0.0,0.00020643,0.99979
789172683,Existing Customer,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,45.0,6,2.0,0.5,2283.0,1430,853.0,1.201,1741.0,27,0.588,0.626,6.0759e-05,0.99994
738406533,Existing Customer,59.0,M,1,Doctorate,Married,$40K - $60K,Blue,52.0,3,2.0,2.0,2548.0,2020,528.0,1.201,1719.0,27,1.172,0.793,0.0001546,0.99985
799723908,Existing Customer,46.0,M,3,High School,Married,$80K - $120K,Blue,40.0,4,3.0,3.0,19458.0,1435,18023.0,0.787,1217.0,27,0.8,0.074,0.00030516,0.99969
771490833,Existing Customer,52.0,M,1,College,Single,$80K - $120K,Blue,40.0,5,1.0,1.0,4745.0,1227,3518.0,0.624,1140.0,40,0.6,0.259,3.031e-05,0.99997
779471883,Attrited Customer,54.0,F,1,Graduate,Married,Less Than $40K,Blue,40.0,2,3.0,1.0,1438.3,808,630.3,0.997,705.0,19,0.9,0.562,0.0006947755000000001,0.9993
711525033,Existing Customer,66.0,F,0,High School,Married,Less Than $40K,Blue,53.5,3,4.0,2.0,3171.0,2179,992.0,1.201,1946.0,38,1.172,0.687,0.00018134,0.99982
714374133,Attrited Customer,56.0,M,2,Graduate,Married,$120K +,Blue,36.0,1,3.0,3.0,15769.0,0,15769.0,1.041,602.0,15,0.364,0.0,0.0006947755000000001,0.9993
716632758,Existing Customer,49.0,F,3,Graduate,Single,Less Than $40K,Blue,36.0,2,2.0,0.5,2802.0,2363,439.0,0.75,1295.0,40,0.6,0.843,4.3568e-05,0.99996
768563658,Existing Customer,56.0,M,2,Uneducated,Married,$40K - $60K,Blue,50.0,4,2.0,3.0,4458.0,1880,2578.0,1.107,1424.0,29,1.172,0.422,0.00019683,0.9998
714091983,Existing Customer,42.0,M,2,High School,Single,$60K - $80K,Blue,34.0,4,4.0,3.0,3336.0,1753,1583.0,0.69,1168.0,27,1.172,0.525,0.00035539,0.99964
712030833,Attrited Customer,48.0,M,2,Graduate,Married,$60K - $80K,Silver,35.0,2,4.0,4.0,23836.25,0,22660.75,0.763,691.0,15,0.5,0.0,0.0006947755000000001,0.9993
711481533,Existing Customer,39.0,M,1,High School,Divorced,$60K - $80K,Blue,33.0,5,3.0,3.0,5926.0,1251,4675.0,0.944,1316.0,28,1.154,0.211,0.00027604,0.99972
710082708,Existing Customer,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32.0,2,4.0,2.0,23836.25,2102,21855.0,0.997,1276.0,26,0.733,0.088,0.00026824,0.99973
708155733,Existing Customer,53.0,M,2,High School,Single,$120K +,Blue,44.0,4,2.0,2.0,14734.0,1634,13100.0,0.989,1289.0,23,0.917,0.111,0.00011065,0.99989
788979258,Existing Customer,51.0,M,4,Uneducated,Single,$80K - $120K,Silver,38.0,4,1.0,4.0,23836.25,1515,22660.75,0.592,1293.0,32,0.6,0.044,0.00015398,0.99985
807986133,Existing Customer,57.0,M,2,College,Married,$60K - $80K,Blue,52.0,5,3.0,3.0,6584.0,1817,4767.0,0.62,1353.0,35,0.667,0.276,0.00029411,0.99971
788730933,Existing Customer,44.0,F,2,Uneducated,Single,Less Than $40K,Blue,20.0,6,3.0,3.0,2084.0,1468,616.0,1.004,1132.0,28,0.556,0.704,0.00031104,0.99969
711314058,Existing Customer,49.0,M,2,Graduate,Married,$60K - $80K,Blue,32.0,2,2.0,2.0,1687.0,1107,580.0,1.201,1670.0,17,1.172,0.656,0.00011382,0.99989
717975333,Existing Customer,50.0,M,2,Doctorate,Married,$80K - $120K,Blue,38.0,6,2.0,2.0,23836.25,1330,22660.75,1.072,837.0,15,1.172,0.053,0.00016471,0.99984
715971108,Existing Customer,51.0,M,4,Graduate,Single,$120K +,Blue,42.0,3,2.0,3.0,23836.25,1763,22660.75,1.201,1550.0,41,1.05,0.051,0.00020077,0.9998
720096558,Existing Customer,55.0,F,2,Graduate,Married,Less Than $40K,Blue,42.0,5,3.0,3.0,2216.0,1034,1182.0,0.758,1540.0,36,0.286,0.467,0.00030251,0.9997
820582308,Existing Customer,42.0,M,5,Uneducated,Married,$80K - $120K,Blue,37.0,6,2.0,2.0,22913.0,1528,21385.0,0.414,1394.0,35,0.522,0.067,0.00012082,0.99988
789973308,Existing Customer,44.0,M,1,College,Single,$60K - $80K,Blue,35.0,3,3.0,3.0,23836.25,1932,22380.0,1.201,1341.0,24,1.172,0.079,0.00027607,0.99972
712876233,Existing Customer,53.0,M,2,Graduate,Single,$80K - $120K,Blue,36.0,5,3.0,2.0,5272.0,1515,3757.0,0.857,1289.0,33,0.435,0.287,0.00017987,0.99982
804595158,Existing Customer,44.0,F,4,Graduate,Single,Less Than $40K,Blue,36.0,6,4.0,2.0,7000.0,2517,4483.0,0.475,1112.0,23,1.172,0.36,0.00022797,0.99977
714826758,Existing Customer,37.0,F,3,Uneducated,Single,Less Than $40K,Blue,29.0,4,4.0,2.0,7038.0,1801,5237.0,0.751,2339.0,57,0.966,0.256,0.00023192,0.99977
