Customer_ID,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Tenure_Months,Products_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Available_Credit,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Stay_Probability,NB_Churn_Probability
768805383,Existing Customer,45.0,M,3,High School,Married,$60K - $80K,Blue,39.0,5,1.0,3.0,12691.0,777,11914.0,1.201,1144.0,42,1.172,0.061,9.3448e-05,0.99991
818770008,Existing Customer,49.0,F,5,Graduate,Single,Less Than $40K,Blue,44.0,6,1.0,2.0,8256.0,864,7392.0,1.201,1291.0,33,1.172,0.105,5.6861e-05,0.99994
713982108,Existing Customer,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36.0,4,1.0,0.5,3418.0,0,3418.0,1.201,1887.0,20,1.172,0.0,2.1081e-05,0.99998
769911858,Existing Customer,40.0,F,4,High School,Unknown,Less Than $40K,Blue,34.0,3,4.0,1.0,3313.0,2517,796.0,1.201,1171.0,20,1.172,0.76,0.00013366,0.99987
709106358,Existing Customer,40.0,M,3,Uneducated,Married,$60K - $80K,Blue,21.0,5,1.0,0.5,4716.0,0,4716.0,1.201,816.0,28,1.172,0.0,2.1676e-05,0.99998
713061558,Existing Customer,44.0,M,2,Graduate,Married,$40K - $60K,Blue,36.0,3,1.0,2.0,4010.0,1247,2763.0,1.201,1088.0,24,0.846,0.311,5.5077e-05,0.99994
810347208,Existing Customer,51.0,M,4,Unknown,Married,$120K +,Gold,46.0,6,1.0,3.0,23836.25,2264,22660.75,1.201,1330.0,31,0.722,0.066,0.00012303,0.99988
818906208,Existing Customer,32.0,M,0,High School,Unknown,$60K - $80K,Silver,27.0,2,2.0,2.0,23836.25,1396,22660.75,1.201,1538.0,36,0.714,0.048,8.5795e-05,0.99991
710930508,Existing Customer,37.0,M,3,Uneducated,Single,$60K - $80K,Blue,36.0,5,2.0,0.5,22352.0,2517,19835.0,1.201,1350.0,24,1.172,0.113,4.4796e-05,0.99996
719661558,Existing Customer,48.0,M,2,Graduate,Single,$80K - $120K,Blue,36.0,6,3.0,3.0,11656.0,1677,9979.0,1.201,1441.0,32,0.882,0.144,0.00030251,0.9997
708790833,Existing Customer,42.0,M,5,Uneducated,Unknown,$120K +,Blue,31.0,5,3.0,2.0,6748.0,1467,5281.0,0.831,1201.0,42,0.68,0.217,0.00019094,0.99981
710821833,Existing Customer,65.0,M,1,Unknown,Married,$40K - $60K,Blue,53.5,6,2.0,3.0,9095.0,1587,7508.0,1.201,1314.0,26,1.172,0.174,0.00019751,0.9998
710599683,Existing Customer,56.0,M,1,College,Single,$80K - $120K,Blue,36.0,3,4.5,0.5,11751.0,0,11751.0,1.201,1539.0,17,1.172,0.0,4.7799e-05,0.99995
816082233,Existing Customer,35.0,M,3,Graduate,Unknown,$60K - $80K,Blue,30.0,5,1.0,3.0,8547.0,1666,6881.0,1.163,1311.0,33,1.172,0.195,9.6126e-05,0.9999
712396908,Existing Customer,57.0,F,2,Graduate,Married,Less Than $40K,Blue,48.0,5,2.0,2.0,2436.0,680,1756.0,1.19,1570.0,29,0.611,0.279,0.00011382,0.99989
714885258,Existing Customer,44.0,M,4,Unknown,Unknown,$80K - $120K,Blue,37.0,5,1.0,2.0,4234.0,972,3262.0,1.201,1348.0,27,1.172,0.23,6.3492e-05,0.99994
709967358,Existing Customer,48.0,M,4,Post-Graduate,Single,$80K - $120K,Blue,36.0,6,2.0,3.0,23836.25,2362,22660.75,1.201,1671.0,27,0.929,0.078,0.00023623,0.99976
753327333,Existing Customer,41.0,M,3,Unknown,Married,$80K - $120K,Blue,34.0,4,4.0,1.0,13535.0,1291,12244.0,0.653,1028.0,21,1.172,0.095,0.00014953,0.99985
806160108,Existing Customer,61.0,M,1,High School,Married,$40K - $60K,Blue,53.5,2,2.0,3.0,3193.0,2517,676.0,1.201,1336.0,30,1.143,0.788,0.00017468,0.99983
709327383,Existing Customer,45.0,F,2,Graduate,Married,Unknown,Blue,37.0,6,1.0,2.0,14470.0,1157,13313.0,0.966,1207.0,21,0.909,0.08,5.5077e-05,0.99994
806165208,Existing Customer,47.0,M,1,Doctorate,Divorced,$60K - $80K,Blue,42.0,5,2.0,0.5,20979.0,1800,19179.0,0.906,1178.0,27,0.929,0.086,5.703e-05,0.99994
708508758,Attrited Customer,62.0,F,0,Graduate,Married,Less Than $40K,Blue,49.0,2,3.0,3.0,1438.3,0,1438.3,1.047,692.0,16,0.6,0.0,0.0006947755000000001,0.9993
784725333,Existing Customer,41.0,M,3,High School,Married,$40K - $60K,Blue,33.0,4,2.0,1.0,4470.0,680,3790.0,1.201,931.0,18,1.172,0.152,6.9242e-05,0.99993
811604133,Existing Customer,47.0,F,4,Unknown,Single,Less Than $40K,Blue,36.0,3,3.0,2.0,2492.0,1560,932.0,0.573,1126.0,23,0.353,0.626,0.00020735,0.99979
789124683,Existing Customer,54.0,M,2,Unknown,Married,$80K - $120K,Blue,42.0,4,2.0,3.0,12217.0,0,12217.0,1.075,1110.0,21,0.75,0.0,0.00021042,0.99979
771071958,Existing Customer,41.0,F,3,Graduate,Single,Less Than $40K,Blue,28.0,6,1.0,2.0,7768.0,1669,6099.0,0.797,1051.0,22,0.833,0.215,5.7151e-05,0.99994
720466383,Existing Customer,59.0,M,1,High School,Unknown,$40K - $60K,Blue,46.0,4,1.0,2.0,14784.0,1374,13410.0,0.921,1197.0,23,1.172,0.093,5.0256e-05,0.99995
804424383,Existing Customer,63.0,M,1,Unknown,Married,$60K - $80K,Blue,53.5,3,3.0,2.0,10215.0,1010,9205.0,0.843,1904.0,40,1.0,0.099,0.00018558,0.99981
718813833,Existing Customer,44.0,F,3,Uneducated,Single,Unknown,Blue,34.0,5,2.0,2.0,10100.0,0,10100.0,0.525,1052.0,18,1.172,0.0,0.00012144,0.99988
806624208,Existing Customer,47.0,M,4,High School,Married,$40K - $60K,Blue,42.0,6,0.5,0.5,4785.0,1362,3423.0,0.739,1045.0,38,0.9,0.285,7.6642e-06,0.99999
778348233,Existing Customer,53.0,M,3,Unknown,Married,$80K - $120K,Blue,33.0,3,2.0,3.0,2753.0,1811,942.0,0.977,1038.0,25,1.172,0.658,0.00021834,0.99978
712991808,Existing Customer,53.0,M,2,Uneducated,Married,$60K - $80K,Blue,48.0,2,4.5,1.0,2451.0,1690,761.0,1.201,1596.0,26,1.172,0.69,0.00012458,0.99988
709029408,Existing Customer,41.0,M,4,Graduate,Married,$60K - $80K,Blue,36.0,4,1.0,2.0,8923.0,2517,6406.0,1.201,1589.0,24,1.172,0.282,5.7762e-05,0.99994
788658483,Existing Customer,53.0,F,2,College,Married,Less Than $40K,Blue,38.0,5,2.0,3.0,2650.0,1490,1160.0,1.201,1411.0,28,1.0,0.562,0.00018612,0.99981
787937058,Existing Customer,58.0,M,0,Graduate,Married,$80K - $120K,Blue,49.0,6,2.0,2.0,12555.0,1696,10859.0,0.519,1291.0,24,0.714,0.135,9.7673e-05,0.9999
715318008,Existing Customer,55.0,F,1,College,Single,Less Than $40K,Blue,36.0,4,2.0,1.0,3520.0,1914,1606.0,0.51,1407.0,43,0.483,0.544,6.2639e-05,0.99994
713962233,Existing Customer,55.0,F,3,Graduate,Married,Less Than $40K,Blue,36.0,6,2.0,3.0,3035.0,2298,737.0,1.201,1877.0,37,1.172,0.757,0.00019864,0.9998
785432733,Existing Customer,42.0,F,4,High School,Married,Less Than $40K,Gold,36.0,2,3.0,3.0,15433.0,0,15433.0,0.865,966.0,22,1.172,0.0,0.00035532,0.99964
715190283,Existing Customer,57.0,F,1,Graduate,Unknown,$40K - $60K,Blue,49.0,3,3.0,2.0,3672.0,886,2786.0,1.201,1464.0,28,0.556,0.241,0.00016883,0.99983
708300483,Attrited Customer,66.0,F,0,Doctorate,Married,Unknown,Blue,53.5,5,4.0,3.0,7882.0,605,7277.0,1.052,704.0,16,0.22799999999999998,0.077,0.0006947755000000001,0.9993
827111283,Existing Customer,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41.0,2,2.0,2.0,23836.25,578,22660.75,1.042,1109.0,28,0.474,0.018,0.00011811,0.99988
758551608,Existing Customer,51.0,M,2,Unknown,Married,$40K - $60K,Blue,44.0,4,1.0,0.5,6205.0,2204,4001.0,0.803,1347.0,28,0.556,0.355,2.2331e-05,0.99998
773146383,Existing Customer,50.0,F,1,College,Single,$40K - $60K,Silver,43.0,3,2.0,3.0,17304.0,2517,14787.0,1.201,1756.0,33,1.172,0.145,0.00015785,0.99984
778493808,Existing Customer,49.0,M,3,High School,Married,$60K - $80K,Blue,37.0,5,2.0,1.0,3906.0,0,3906.0,1.201,1756.0,32,1.0,0.0,6.9242e-05,0.99993
720572508,Existing Customer,38.0,F,4,Graduate,Single,Unknown,Blue,28.0,2,3.0,3.0,9830.0,2055,7775.0,0.977,1042.0,23,0.917,0.209,0.00031726,0.99968
712661433,Existing Customer,49.0,M,4,Uneducated,Single,$80K - $120K,Blue,30.0,3,2.0,3.0,23836.25,0,22660.75,1.201,1444.0,28,1.172,0.0,0.00020643,0.99979
789172683,Existing Customer,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,45.0,6,2.0,0.5,2283.0,1430,853.0,1.201,1741.0,27,0.588,0.626,6.0759e-05,0.99994
738406533,Existing Customer,59.0,M,1,Doctorate,Married,$40K - $60K,Blue,52.0,3,2.0,2.0,2548.0,2020,528.0,1.201,1719.0,27,1.172,0.793,0.0001546,0.99985
799723908,Existing Customer,46.0,M,3,High School,Married,$80K - $120K,Blue,40.0,4,3.0,3.0,19458.0,1435,18023.0,0.787,1217.0,27,0.8,0.074,0.00030516,0.99969
771490833,Existing Customer,52.0,M,1,College,Single,$80K - $120K,Blue,40.0,5,1.0,1.0,4745.0,1227,3518.0,0.624,1140.0,40,0.6,0.259,3.031e-05,0.99997
720756708,Existing Customer,52.0,F,3,Unknown,Married,Less Than $40K,Blue,41.0,6,3.0,2.0,2622.0,1549,1073.0,1.201,1878.0,30,1.143,0.591,0.00020516,0.99979
779471883,Attrited Customer,54.0,F,1,Graduate,Married,Less Than $40K,Blue,40.0,2,3.0,1.0,1438.3,808,630.3,0.997,705.0,19,0.9,0.562,0.0006947755000000001,0.9993
711525033,Existing Customer,66.0,F,0,High School,Married,Less Than $40K,Blue,53.5,3,4.0,2.0,3171.0,2179,992.0,1.201,1946.0,38,1.172,0.687,0.00018134,0.99982
